point_idx,test_index,dominant_emotion_idx,dominant_emotion,is_top_emotion
0,0,21,sadness,False
1,7,20,remorse,False
2,12,0,admiration,True
3,14,10,disapproval,True
4,17,1,amusement,True
5,22,0,admiration,True
6,25,4,approval,True
7,26,0,admiration,True
8,29,16,joy,False
9,30,1,amusement,True
10,31,1,amusement,True
11,32,4,approval,True
12,33,3,annoyance,True
13,41,15,gratitude,True
14,43,14,fear,False
15,44,6,confusion,True
16,45,9,disappointment,False
17,48,0,admiration,True
18,51,0,admiration,True
19,52,14,fear,False
20,56,18,optimism,False
21,57,15,gratitude,True
22,58,7,curiosity,True
23,59,3,annoyance,True
24,61,10,disapproval,True
25,63,15,gratitude,True
26,67,22,surprise,False
27,69,13,excitement,False
28,70,5,caring,False
29,72,6,confusion,True
30,73,9,disappointment,False
31,76,10,disapproval,True
32,78,2,anger,True
33,80,5,caring,False
34,87,4,approval,True
35,88,7,curiosity,True
36,93,3,annoyance,True
37,96,19,realization,False
38,100,2,anger,True
39,102,17,love,True
40,104,1,amusement,True
41,108,3,annoyance,True
42,109,12,embarrassment,False
43,111,10,disapproval,True
44,120,4,approval,True
45,123,5,caring,False
46,124,0,admiration,True
47,134,0,admiration,True
48,135,16,joy,False
49,139,19,realization,False
50,141,19,realization,False
51,144,14,fear,False
52,149,15,gratitude,True
53,152,10,disapproval,True
54,156,3,annoyance,True
55,157,0,admiration,True
56,162,0,admiration,True
57,163,21,sadness,False
58,166,6,confusion,True
59,168,2,anger,True
60,170,10,disapproval,True
61,173,8,desire,False
62,174,19,realization,False
63,175,9,disappointment,False
64,176,11,disgust,False
65,177,15,gratitude,True
66,178,4,approval,True
67,179,15,gratitude,True
68,183,8,desire,False
69,184,0,admiration,True
70,187,11,disgust,False
71,188,5,caring,False
72,191,11,disgust,False
73,192,7,curiosity,True
74,194,18,optimism,False
75,195,15,gratitude,True
76,196,6,confusion,True
77,198,7,curiosity,True
78,199,6,confusion,True
79,203,19,realization,False
