emotion,baseline_f1,compressed_f1,gap,is_valid
admiration,0.7565392354124748,0.0,0.7565392354124748,True
amusement,0.8528864059590316,0.0,0.8528864059590316,True
anger,0.5501432664756447,0.0,0.5501432664756447,True
annoyance,0.4112903225806452,0.0,0.4112903225806452,True
approval,0.5550239234449761,0.0,0.5550239234449761,True
caring,0.5423728813559322,0.0,0.5423728813559322,True
confusion,0.5128205128205128,0.0,0.5128205128205128,True
curiosity,0.7065217391304348,0.0,0.7065217391304348,True
desire,0.5354330708661418,0.0,0.5354330708661418,True
disappointment,0.2751322751322751,0.0,0.2751322751322751,True
disapproval,0.5265306122448979,0.0,0.5265306122448979,True
disgust,0.5212765957446809,0.0,0.5212765957446809,True
embarrassment,0.26666666666666666,0.0,0.26666666666666666,True
excitement,0.4539877300613497,0.0,0.4539877300613497,True
fear,0.7096774193548387,0.0,0.7096774193548387,True
gratitude,0.9273255813953488,0.0,0.9273255813953488,True
joy,0.6348122866894198,0.0,0.6348122866894198,True
love,0.813141683778234,0.0,0.813141683778234,True
optimism,0.573170731707317,0.0,0.573170731707317,True
realization,0.2708333333333333,0.0,0.2708333333333333,True
remorse,0.6722689075630253,0.0,0.6722689075630253,True
sadness,0.6319702602230484,0.0,0.6319702602230484,True
surprise,0.5714285714285714,0.0,0.5714285714285714,True
